exp,seed,mu_seed,sigma0,depth,width,B,delta,relmse,train_sec,beta,sigma_inf,mu_box,d,K,steps,batch_size,lr,eval_n,eval_batch,teacher_steps,score_chunk
exp_flow_map_bound,5.0,0.0,0.001,4.0,512.0,0.25,0.06931471805599453,0.008309681909508293,329.9046456813812,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,5.0,0.0,0.0001,4.0,512.0,0.001,0.06931471805599453,0.9999999808177767,329.83605098724365,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,5.0,0.0,0.0001,4.0,512.0,0.01,0.06931471805599453,0.9843852594173107,330.592955827713,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,5.0,0.0,0.0001,4.0,512.0,0.1,0.06931471805599453,0.03247093662384446,329.8102219104767,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,5.0,0.0,0.0001,4.0,512.0,0.25,0.06931471805599453,0.020007861054940276,330.13374161720276,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.1,4.0,512.0,0.001,0.06931471805599453,0.9433390287667431,330.2307424545288,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.1,4.0,512.0,0.01,0.06931471805599453,0.004126273163365515,329.9818594455719,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.1,4.0,512.0,0.1,0.06931471805599453,2.5099975379873106e-05,330.16620993614197,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.1,4.0,512.0,0.25,0.06931471805599453,3.9162498684856005e-05,330.4590229988098,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.01,4.0,512.0,0.001,0.06931471805599453,0.9876841248100147,330.1019196510315,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.01,4.0,512.0,0.01,0.06931471805599453,0.7445309978709422,329.4613938331604,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.01,4.0,512.0,0.1,0.06931471805599453,0.006416516551362849,329.73905658721924,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.01,4.0,512.0,0.25,0.06931471805599453,0.004802398036936519,329.85843086242676,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.001,4.0,512.0,0.001,0.06931471805599453,0.9999966869768975,329.570317029953,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.001,4.0,512.0,0.01,0.06931471805599453,0.9587533221353803,329.7406713962555,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.001,4.0,512.0,0.1,0.06931471805599453,0.00860735719731271,329.6637296676636,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.001,4.0,512.0,0.25,0.06931471805599453,0.00679696920890873,330.11168360710144,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.0001,4.0,512.0,0.001,0.06931471805599453,0.9999999920055375,330.0614607334137,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.0001,4.0,512.0,0.01,0.06931471805599453,0.984588060895388,329.80116081237793,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.0001,4.0,512.0,0.1,0.06931471805599453,0.030753373245474298,329.08995389938354,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,6.0,0.0,0.0001,4.0,512.0,0.25,0.06931471805599453,0.021082290131588292,329.08857131004333,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,7.0,0.0,0.1,4.0,512.0,0.001,0.06931471805599453,0.9438424114898676,329.9161789417267,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,7.0,0.0,0.1,4.0,512.0,0.01,0.06931471805599453,0.004824734474565165,329.12456703186035,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,7.0,0.0,0.1,4.0,512.0,0.1,0.06931471805599453,3.8502243130627676e-05,329.1345942020416,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,7.0,0.0,0.1,4.0,512.0,0.25,0.06931471805599453,2.58023708619432e-05,329.7394132614136,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,7.0,0.0,0.01,4.0,512.0,0.001,0.06931471805599453,0.9875905886820164,329.7965202331543,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,7.0,0.0,0.01,4.0,512.0,0.01,0.06931471805599453,0.7519352946893259,332.93179631233215,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,7.0,0.0,0.01,4.0,512.0,0.1,0.06931471805599453,0.00685928263001251,330.037841796875,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
